period,count
reign of haremhab twentieth century,4
haremhab or later new kingdom,4
reign of userkaf old kingdom,4
amratian,4
trajan,4
late period -ptolemaic period,4
ptolemy v epiphanes,4
third intermediate period-ptolemaic period,4
amenemhat ii,4
reign of amasis late period,4
palaeolithic period,4
piankhy,4
late new kingdom,4
scorpion,4
1st intermediate,4
neolithic-predynastic period,4
userkaf,4
djoser,4
later reign of pepi ii at earliest old kingdom,4
new kingdom-late period,3
modern,3
severus alexander,3
reign of akhenaten new kingdom,3
early ptolemaic period,3
late old kingdom-first intermediate period,3
ptolemaic to roman,3
semenkhkare,3
tanutamun,3
"reign of akhenaten to haremhab new kingdom, amarna period",3
predynastic-early dynastic,3
2nd intermediate,3
djoser teti,3
ramesses ix,3
roman,3
sobekhotep ii,3
berenice ii,3
neo assyrian,3
neo babylonian,3
kingdom of kush,3
reign of unis old kingdom,3
ramesside period,3
old assyrian,3
reign of nectanebo ii late period,3
reign of amenhotep iii-akhenaten twentieth century,3
djedefre,3
siamun,3
pepi ii at earliest old kingdom,3
late second intermediate period-early new kingdom,3
"new kingdom, ramesside, later than",3
osorkon i,3
late new kingdom-early third intermediate period,3
middle kingdom or second intermediate period,3
reign of akhenaten-tutankhamun twentieth century,3
ptolemaic-roman period,3
16th dynasty,3
neferhotep i,3
"predynastic, late naqada i-early naqada ii",3
reign of amenhotep ii-thutmose iv new kingdom,3
date being researched,3
antoninus pius,3
twentieth century,3
late middle kingdom or early second intermediate period,3
"late period, kushite-saite",3
ramesses xi,3
reign of ahmose i to hatshepsut new kingdom,3
reign of ramesses ii twentieth century,3
ptolemaic-early roman period,3
reign of ramesses ii new kingdom,3
second intermediate period-new kingdom,3
late period - roman period,3
reigns of senwosret i to senwosret ii middle kingdom,3
sobekhotep iv,3
"reign of necho ii late period, saite",2
24th dynasty and contemporaries,2
alexander the great,2
arsinoe ii,2
"reign of haremhab new kingdom, amarna period",2
reign of ahmose-joint reign early new kingdom,2
thutmose iii new kingdom,2
neferefre,2
domitian,2
pontificate of masaharta third intermediate period,2
late roman,2
saite or late roman,2
reign of aya new kingdom,2
pontificate of painedjem ii third intermediate period or later,2
reign of mentuhotep iii middle kingdom,2
late reign of mentuhotep ii middle kingdom,2
reign of senwosret i-early amenemhat ii middle kingdom,2
sebekemsaf i,2
reign of ahmose i-amenhotep i new kingdom,2
reign of ptolemy iii euergetes i ptolemaic period,2
third intermediate period or earlier,2
ay,2
reign of darius i late period,2
