object_classification,count
kohl-scoop,5
"ostracon  ,  storage-vessel",5
knuckle-bone,5
"figure ,  trial-piece",5
"ostracon  ,  bowl",5
stylus,5
"amulet ,  bead",5
human skeletal remains,5
"finger-ring ,  scaraboid",5
whip,5
"axe ,  model",5
"krater ,  dinos",5
ball,5
toilet-spoon,5
"amulet ,  sticker",5
"ostracon ,  dish",5
cassel cup,5
ladle,5
"inlay ,  naos",5
"bowl ,  votive offering",4
"dinos ,  krater",4
"figure ,  herm",4
saucer,4
"mask ,  figure",4
"figure ,  lamp",4
"pendant ,  aegis",4
"dagger ,  knife",4
"vessel ,  lid",4
"papyrus ,  papyrus-sealing",4
"figure ,  flask",4
lebes gamikos,4
"textile ,  sock",4
"brazier ,  stove",4
sickle-sword,4
banknote,4
sinker of net,4
"cup ,  kylix",4
"mummy-case ,  cartonnage ,  human mummy",4
flute,4
food product,4
"textile ,  veil",4
lamp-stand,4
feeder,4
"textile ,  hat",4
"basket ,  lid",4
libation-tank,4
jar label,4
"shabti ,  shabti-coffin",4
window-grille,4
"stopper ,  plug ,  seal-impression",4
qur'an-board,4
"curse ,  writing-tablet",4
"scribal palette ,  pigment sample",4
lip-ornament,4
"scarab ,  forgery",4
saw,4
architectural model,4
trousers,4
"coffin ,  model ,  figure ,  textile",4
pillar,4
votive plaque,4
hair-ornament,4
"kohl-pot ,  kohl-stick",4
door-jamb,4
"bowl ,  game-piece",4
"statue ,  forgery",4
"heart-scarab ,  forgery",4
cubit rod,4
slipper,4
jar-stand,4
"funerary equipment ,  tag",4
"figure ,  doll",4
"funerary equipment ,  animal remains",4
"chain ,  animal equipment ,  personal ornament",4
wig-curler,4
"textile ,  furnishing ,  shawl ,  garment",4
thymiaterion,4
reserve head,4
arm-shaped censer,4
"kohl-jar ,  kohl",4
"libation-vase ,  foundation-deposit",4
"adze ,  model",4
"dish ,  model",4
"plaque ,  box",4
soles,4
rope,4
seal-ring,4
head-dress,4
case,4
"peg ,  foundation-deposit",4
cordage,4
slag,4
tobacco-pipe,4
human remains,4
"transport amphora ,  model",4
magical brick,4
"coffin ,  human mummy ,  mummy-wrapping",4
aegis with counterpoise,4
foot-rasp,4
jar-label,4
"necklace ,  bead ,  amulet",4
"cup-stand ,  cup-holder",4
ring aryballos,4
mirror-case,4
sling-shot,4
"textile ,  loin-cloth",4
toilet-box,4
jewellery-mould,4
lamp-mould,4
"lamp ,  handle ,  lamp-ornament",4
"jug ,  filter",4
"figure ,  toy",4
"necklace ,  amulet",4
jar-cover,4
stud,4
sash,4
horse-trappings,4
armour,4
bird mummy,4
cosmetic-spatula,4
"canopic jar ,  mummy-packing",4
"cosmetic-vessel ,  lid",4
"textile ,  garment ,  tunic ,  ribbon",4
folding stool,4
"alabastron ,  flask",4
"disc ,  weight",4
"sealing ,  seal-impression",3
torc,3
"pyxis ,  lid",3
lance,3
"print ,  invitation",3
drill,3
"belt ,  girdle",3
"wall panel ,  relief",3
chain,3
"bowl ,  ostracon",3
astrolabe,3
poster,3
finial,3
albarello,3
"scaraboid  ,  disc",3
staple,3
music sheet/cover,3
whistle,3
"tablet ,  seal-impression",3
"figure ,  theatre mask",3
drill-bit,3
veil,3
candelabrum,3
unspecified tool,3
foot cover,3
offering bearer,3
ink cake,3
jellabia,3
element of human mummy,3
unspecified accessory,3
shabti mould,3
"ear-ring ,  spacer-bead ,  bead",3
"bead ,  sample",3
"binding ,  cord",3
binding,3
"textile ,  cord ,  burial-tape",3
"textile ,  doll ,  shirt",3
"textile ,  garment  ,  fringe",3
"ostracon  ,  amphora",3
"ostracon  ,  jar",3
"ostracon ,  storage-vessel",3
cosmetic-applicator,3
crown,3
gnomon,3
"offering-table ,  model",3
parchment,3
"coin ,  forgery",3
measuring rope,3
marine shell,3
mammal horn,3
currency-bar,3
socks,3
wall,3
organic remains,3
canopic shrine,3
cantharos,3
cramp,3
chapel,3
papyrus boat,3
necklace terminal,3
garland,3
food offering,3
ink pot,3
box lid,3
butcher's shop,3
"coffin ,  figure",3
smoother,3
"amphora  ,  oinochoe",3
"cowroid ,  forgery",3
drinking-cup,3
"shabti ,  amulet ,  amulet-frame",3
"toy ,  mirror",3
"model ,  adze ,  foundation-deposit",3
menat,3
bridle-bit,3
hatchet,3
"textile ,  cord",3
"jewellery-fitting ,  clasp",3
cymbal,3
"figure ,  mummy-case",3
"shabti-coffin ,  shabti ,  textile",3
stone-chisel,3
cover-plate,3
"model ,  axe ,  blade",3
grindstone,3
libation-bowl,3
"stela ,  cast",3
