object_classification,count
"shabti ,  brick",1
"offering-cup  ,  foundation-deposit",1
"trial-piece ,  sculpture",1
"nail ,  spike",1
"model ,  yoke  ,  bag ,  figure-fitting",1
"toy ,  mill",1
"rattle ,  figure ,  askos",1
"scoop ,  probe",1
"necklace  ,  pendant ,  bead",1
"architecture  ,  artefact ,  grinding-stone",1
"scribal palette ,  water-bowl",1
"bead ,  scarab",1
"figure ,  mummy-wrapping",1
"juglet ,  flask",1
"bracelet ,  plaque",1
"bead ,  clasp",1
"bracelet ,  bead ,  spacer-bead",1
"chisel ,  drill",1
"necklace  ,  bead ,  pendant ,  clasp ,  amulet",1
"model ,  hoe ,  figure-fitting",1
"rattle ,  figure",1
"necklace ,  amulet-case",1
"human remains ,  basket  ,  textile",1
"shoe ,  nail",1
"bust ,  flask",1
"stopper ,  game-piece",1
"necklace ,  pendant ,  coin",1
libation-vase,1
"figure ,  cast",1
"scarab ,  bead",1
"jewellery-fitting  ,  amulet ,  diadem",1
"dagger ,  funerary equipment",1
"wand ,  amuletic wand",1
"throwing-stick ,  amuletic wand",1
"oil-lamp  ,  figure",1
"base ,  figure",1
"ostracon ,  letter",1
"cosmetic-box ,  figure",1
"model ,  spoon",1
"coffin ,  mummy-case ,  cartonnage ,  human mummy ,  pectoral",1
lanx,1
"cup-holder ,  cup-stand ,  coffee equipment",1
"handle ,  lebes",1
"bowl ,  kiln-furniture",1
"antefix ,  ornament ,  tile",1
"artefact ,  game-piece",1
"vessel ,  canopic jar ,  model",1
"key ,  finger-ring",1
wine-strainer,1
"situla ,  situla-stand ,  votive offering ,  model",1
"offering-table ,  amulet",1
"wheel ,  toy",1
"stamp-seal ,  seal",1
"die ,  dice",1
"inlay ,  amulet  ,  jewellery",1
"naukratic figure ,  amulet",1
"sculpture  ,  trial-piece",1
"jar ,  jug",1
libation-vessel,1
"figure ,  statue",1
saddle,1
"model ,  askos",1
"amulet ,  bead ,  pendant",1
"aegis ,  votive offering",1
"coffin ,  mummy-mask ,  mummy-cover ,  cartonnage ,  mummy-wrapping ,  human mummy",1
fibula,1
"heart-scarab ,  necklace",1
"fitting ,  ceremonial staff",1
"human mummy ,  mummy-wrapping ,  mummy-case ,  cartonnage",1
"grave-marker ,  seal-impression",1
"trefoil-mouth oinochoe ,  measure",1
"lock ,  plate",1
"writing-tablet ,  stylus ,  signet-ring",1
scrubbing-brush,1
"mummy footcase ,  cartonnage",1
"amulet ,  heart-scarab",1
"ampulla ,  model",1
"cosmetic-pot ,  model",1
"amulet ,  stela",1
"jewellery ,  diadem",1
"naos ,  door",1
"disc ,  jewellery-fitting ,  bead",1
standard,1
"animal mummy ,  mummy-case ,  mummy-wrapping",1
"model ,  knife ,  tongs ,  axe ,  chisel ,  tool/implement ,  foundation-deposit",1
"tile ,  wall-tile",1
"religious/ritual equipment ,  tool/implement",1
"print ,  prospectus",1
"religious/ritual vessel ,  water-vessel",1
"kohl-pot ,  stopper",1
"scarab ,  finger-ring",1
wig-pin,1
"textile ,  belt",1
"paint-brush ,  pigment sample",1
"model ,  naos",1
"amulet ,  scaraboid ,  figure",1
"vessel ,  beaker",1
clamp,1
"peg  ,  foundation-deposit",1
breast-ornament,1
"pendant  ,  bead",1
"model ,  foundation-deposit ,  sacrificial knife",1
fitting-mould,1
"model ,  foundation-deposit ,  trowel",1
double jar,1
"sistrum ,  core",1
"model ,  plaque ,  foundation-deposit",1
"toy ,  string",1
dish-cover,1
"model ,  vase-stand",1
"jar ,  textile",1
"figure ,  amulet ,  shrine",1
"canopic jar ,  sample",1
"canopic jar ,  mummy-packing ,  human remains",1
"ink-pot ,  pen-case ,  chain",1
"jewellery ,  amulet",1
plumb-bob,1
"shuttle ,  loom",1
"model ,  writing-box",1
toilet/cosmetic equipment,1
"cast ,  palette",1
walking-stick,1
"zither ,  plectrum",1
"artefact ,  brick",1
"stela ,  sculpture",1
"dish ,  food-basket",1
"button ,  disc",1
"bowl ,  textile",1
"bottle ,  figure",1
"dish  ,  model",1
cosmetic-palette-cover,1
"model building/structure ,  house",1
"capital ,  votive offering",1
"sword ,  forgery",1
pleating-tool/implement,1
"comb ,  oar",1
"tray ,  model",1
"vessel-stamp ,  seal",1
"watch ,  watch-case",1
"watch ,  watch-case ,  watch-paper ,  print",1
"net-weight ,  loom-weight",1
"pot ,  sherbet-cup",1
"coffin ,  string",1
"vessel ,  alabastron",1
"figure ,  rhyton",1
"cippus ,  cast",1
"dish ,  textile ,  food product",1
"coffin ,  animal mummy",1
watch,1
"cowroid ,  scaraboid",1
"rasp ,  strigil",1
prochoos,1
