,Unique Values,Count
2391,"Amulet, polymorphic deity",1
853,"Amulet, queen",2
1125,"Amulet, ram",2
518,"Amulet, recumbent ram",3
2504,"Amulet, rhinoceros",1
2154,"Amulet, scarab",1
2817,"Amulet, scarab, Nesenaset",1
3048,"Amulet, scorpion",1
2137,"Amulet, set",1
855,"Amulet, sheet gold, bracelet",2
937,"Amulet, shell",2
1506,"Amulet, sistrum",1
2493,"Amulet, snake",1
4684,"Amulet, snake head",1
1221,"Amulet, snake headed staff",1
4827,"Amulet, snake-head",1
2893,"Amulet, son of Horus",1
2159,"Amulet, sphinx",1
2486,"Amulet, sphinx, falcon-headed, pedestal",1
4693,"Amulet, sphinx, human-headed",1
818,"Amulet, squatting child",2
613,"Amulet, star",3
3101,"Amulet, string",1
1854,"Amulet, surveyor's level",1
2392,"Amulet, sweret bead",1
4647,"Amulet, throne",1
4643,"Amulet, tit",1
2488,"Amulet, tit knot",1
4839,"Amulet, tit symbol",1
896,"Amulet, tit, Isis knot",2
554,"Amulet, tjes-knot",3
3713,"Amulet, tree frog",1
753,"Amulet, two-finger",2
680,"Amulet, two-finger amulet",2
2155,"Amulet, uraeus",1
292,"Amulet, vulture",5
380,"Amulet, wedjat eye",4
873,"Amulet, wedjat eye, Tiye",2
3017,"Amulet, white crown",1
113,"Amulet, winged scarab",11
5219,"Amulet,Tjes-Knot",1
2512,"Amulet,cat",1
1567,"Amulets , wax , body parts",1
4635,"Amulets, Djedmutesankh",1
2544,"Amulets, string, stars",1
4721,Amun,1
2294,"Animal Mummy case, shrine-shaped, lizard",1
2718,Animal amulet,1
4480,"Ankle, selvage",1
4253,"Ankle, with garment, sandal strap",1
155,Anklet,9
1111,"Anklet, Senebtisi",2
387,"Anklet, Sithathoryunet",4
1103,"Anklet, Wah",2
761,"Anklet, claw pendants, barrel beads",2
2660,"Anubis, jackal-headed",1
1559,Apis figure,1
641,"Apron, beadwork, Senebtisi",3
1273,"Apron, beadwork, Senebtisi, buckle",1
1270,"Apron, beadwork, Senebtisi, replica tail",1
3848,Arch,1
4123,Archer's wrist guard,1
1139,"Architectural ornament, cobra head",2
747,Arm,2
4346,"Arm at shoulder, Aten cartouches",1
575,"Arm at wrist, Aten cartouches",3
4426,"Arm at wrist, leg at knee",1
583,Arm fragment,3
4423,"Arm or hand holding stela, Aten cartouche",1
1094,Arm or leg,2
4432,"Arm or wrist, Aten cartouche",1
4347,"Arm with garment fragment, cartouche",1
4482,"Arm with garment fringe, pleating, Aten cartouche",1
4447,"Arm, Aten cartouche",1
545,"Arm, Aten cartouches",3
4349,"Arm, Aten cartouches, belonging with 21.9.431",1
4214,"Arm, body fragment, group statue",1
4448,"Arm, empty cartouches",1
4449,"Arm, forearm",1
4213,"Arm, garment, pleating, relief",1
4428,"Arm, left shoulder, Aten cartouche",1
4427,"Arm, outside shoulder, Aten cartouche",1
4348,"Arm, outside shoulder, Aten cartouches",1
4429,"Arm, right shoulder, Aten cartouche",1
4468,"Arm, with garment, Aten cartouches",1
4467,"Arm, with garment, cartouche",1
1030,Armlet,2
5232,"Armlet, A'a,  Amenhotep",1
5233,"Armlet, A'a, Amenhotep",1
2644,"Armlet, bracelet, Sithathoryunet, lion",1
1991,"Armlet, large, inscribed",1
120,Armor scale,11
1557,"Armor scales, Apries",1
401,Arrow,4
2539,"Arrow fragment, butt",1
333,"Arrow point, Neferkhawet",5
774,Arrow tip,2
2847,"Arrow, adhesive",1
4381,"Arrow, arrowhead",1
101,"Arrow, arrowhead, adhesive",13
2217,"Arrow, arrowhead, transverse arrowhead",1
725,"Arrow, blunt pile",2
96,Arrowhead,13
4881,"Arrowhead, Hollow-Base, concave-base, Projectile Point",1
427,"Arrowhead, Projectile Point",4
2628,"Arrowhead, Projectile, point, concave-base, hollow-base, tool",1
3470,"Arrowhead, crystal, Projectile Point",1
3471,"Arrowhead, projectile point",1
762,Aryballos,2
4672,Aryballos with the name Wahibre,1
3194,"Asiatic captive, furniture decoration",1
808,Aten cartouche,2
1014,"Attachment, Uraeus, freize",2
2487,"Attachment, double uraei",1
2302,"Attachment, falcon head",1
5045,"Attachment, head of Medusa",1
1609,"Attachment, two lions, column",1
2398,"Attachment, vulture",1
4548,"Awl, leatherwork",1
588,Ax,3
4257,Ax Blade,1
653,Ax blade,2
944,"Ax blade, model, tool, Senenmut",2
769,Ax handle,2
611,Ax head,3
3923,Ax head with 2 cynocephali apes and papyrus column,1
3921,Ax head with cynocephalus,1
3924,Ax head with monkey figure,1
3914,Ax head with two bulls,1
1351,"Ax, 5 sections
a) blade
b) top ferule
c & d) middle ferules
e) base ferule",1
4795,"Ax, Baki",1
4122,"Ax, long",1
3408,"Ax, model",1
2162,Axe,1
1123,Ba bird,2
4351,"Back pillar , Aten cartouches",1
4466,"Back pillar of Torso, with Aten cartouches",1
4215,"Back pillar of Torso, with cartouches",1
4262,"Back, shoulder, garment, pleating",1
3907,Bag,1
1283,Bag-shaped Jar,1
3081,Ball,1
3284,"Ball, leather",1
1642,"Ball, weaving thread",1
584,Balustrade,3
4343,Balustrade endpost,1
2025,"Balustrade fragment, cartouche of Nefertiti",1
4379,Balustrade newel post,1
1980,"Balustrade section, Aten cartouches",1
4260,"Balustrade, Akhenaten and Aten cartouches",1
18,Band,67
26,Band fragment,43
1133,Bandage,2
767,"Bangle, bracelet",2
2663,"Base, round bottomed Cypriot juglet",1
411,Basin,4
3931,"Basin, handle",1
237,Basket,6
4743,"Basket, 3 bottles found inside",1
3066,"Basket, Merytamun",1
2693,"Basket, coil, lid",1
1076,"Basket, hemisphere, conical lid",2
763,"Basket, lid",2
3940,"Basket, lid, Maritamun",1
957,"Basket, lid, Meritamun",2
3627,"Basket, lid, oval, decorated",1
5332,"Basket, lid, oval, embalming cache material, bandages",1
1757,"Basket, oblong",1
5261,"Basket, round, decorated",1
5262,"Basket, round, decorated, stand",1
2484,"Bastet, Nefertum",1
3052,"Bastet, standing, aegis, basket",1
1249,Bat Amulet,1
1232,"Bay, stela, stelephorous",1
69,Bead,17
510,Bead amulet,3
2978,"Bead amulet, Aphrodite",1
4607,"Bead amulet, Harpokrates",1
2979,"Bead amulet, jackal",1
3041,Bead or amulet,1
3889,Bead or spindle whorl,1
3435,"Bead plaque, Amenhotep I",1
3273,"Bead plaque, Hathor emblem, Amenhotep I",1
5182,"Bead plaque, Oval",1
2081,"Bead plaque, Ramesses II",1
4879,"Bead plaque, Thutmose IV, Sphinx",1
1357,"Bead, 3 tubes",1
3286,"Bead, Ahhotep",1
1180,"Bead, Ahmose-Nefertari",1
993,"Bead, Ahmose-Nefertari, God's Wife",2
1455,"Bead, Ahmose-Nefertari, king's wife",1
1162,"Bead, Ahmose-Nefertari, united with the white crown",1
1085,"Bead, Amenemhat",2
2773,"Bead, Amenemhat II",1
2769,"Bead, Amenemhat III",1
3498,"Bead, Hapiankhtifi",1
885,"Bead, Hathor head",2
4081,"Bead, King Iaib Wahibre",1
1818,"Bead, Merytamun, queen",1
4516,"Bead, Persea fruit",1
5066,"Bead, Ramesses II, Isetnefret",1
4001,"Bead, Sweret",1
1070,"Bead, Sweret, ring, Wah",2
4976,"Bead, Thutmose III, openwork barrel",1
189,"Bead, ball",8
5246,"Bead, ball, Hatshepsut",1
2807,"Bead, barrel, Nesenaset",1
2805,"Bead, blue lotus petal",1
3815,"Bead, cartouche, royal",1
320,"Bead, cornflower",5
4515,"Bead, cornflowers",1
300,"Bead, cowroid",5
1951,"Bead, cylinder, Nesenaset",1
121,"Bead, daisy",11
1444,"Bead, disk",1
1870,"Bead, elongated, ""City of Thebes""",1
2868,"Bead, figurine , Hathor",1
341,"Bead, grapes",5
4611,"Bead, grapes, Nebmaatre cartouche",1
455,"Bead, leaf",3
472,"Bead, leaves",3
2134,"Bead, leopard head",1
432,"Bead, lotus petal",4
4612,"Bead, lotus petal, Amenhotep III, Nebmaatre",1
471,"Bead, lotus sepal",3
1869,"Bead, oblong",1
397,"Bead, openwork",4
324,"Bead, scarab, Amenemhat",5
1947,"Bead, scrolls",1
98,Beads,13
2642,"Beads , Hepy",1
2207,Beads and pendants,1
2373,"Beads ring, Baki",1
2579,"Beads that include a scarab, ball beads, and cowrie-styled beads",1
2966,"Beads, 3 strings",1
4712,"Beads, Mellon",1
3572,"Beads, acacia, from girdle",1
2034,"Beads, amulet  , string",1
2545,"Beads, amulets",1
2243,"Beads, amulets (wedjat, papyrus scepter, Isis and Horus, shell, sow",1
2028,"Beads, amulets , string",1
567,"Beads, amulets, string",3
267,"Beads, ball",6
1762,"Beads, barrel",1
1493,"Beads, broad collar",1
1708,"Beads, cubes",1
134,"Beads, cylinder",10
2639,"Beads, cylinder, pendant",1
2140,"Beads, cylinders",1
2643,"Beads, cylinders, parallel string",1
223,"Beads, disk",7
4623,"Beads, disks",1
2399,"Beads, eyes",1
488,"Beads, flattened",3
861,"Beads, found scattered",2
2535,"Beads, hawk amulet, cornflower, string",1
2480,"Beads, imitation",1
4597,"Beads, knobbed",1
4765,"Beads, leaf",1
3580,"Beads, lentoid",1
4769,"Beads, lozenge",1
2617,"Beads, pendants",1
1709,"Beads, rectangular",1
5298,"Beads, scarabs, scaraboids, Amenemhat",1
2175,"Beads, shells, cowrie",1
2033,"Beads, shells, string",1
12,"Beads, string",102
4596,"Beads, string of 12",1
3499,"Beads, string, Hapiankhtifi",1
863,"Beads, string, Hepy",2
2640,"Beads, string, cylinders",1
5112,"Beads, terminal, pendants",1
2516,"Beads, tubular",1
3401,"Beads, tubular, Perneb",1
4746,"Beads, various stones",1
4517,"Beadt, mandrake fruit",1
4301,"Beadwork shroud, Tabakenkhonsu",1
687,Beaker,2
4588,"Beaker sherd, elephant",1
2589,"Beaker, Black-topped red ware",1
465,"Beaker, black topped",3
4587,"Beaker, black-topped",1
3071,"Beaker, classic Kerma",1
3571,"Beaker, hippos",1
2587,"Beaker, white cross-lined ware",1
3365,"Beaker, white cross-lined ware, Nile River scene",1
4638,Bed,1
1853,"Bed, embalmer's",1
3463,Belt,1
1082,"Bes, female",2
3445,"Bes, statuette",1
4331,"Bezel of a ring, Nefertari",1
2664,"Biface, Hand Ax",1
2673,"Bifacial Knife, knife",1
3910,Bifolio from a non-illustrated manuscript,1
4229,Big toe,1
2627,"Bivavle, clam, mussel, unionid, foundation deposit, Thutmose III",1
902,Blade,2
621,Blazon,3
345,Block,4
5039,Block Statue,1
4772,"Block Statue Head, Mentuhotep, Chief of Scribes",1
5159,Block Statue of Pameniuwedja,1
5152,"Block Statue, Ankhwennefer",1
5068,"Block Statue, Nedjem",1
5025,"Block Statue, Neskhemnyu",1
5026,"Block Statue, Porter, Amenemhat",1
4223,"Block edge, cartouche of Nefertiti",1
3596,"Block statue, Minhotep",1
3591,"Block statue, Tjaenwaset",1
1984,"Block, cartouche of Akhenaten and of Aten on opposite sides",1
4598,"Block, cartouche of Alexander or his son",1
5323,"Block, model, tool, Senenmut",1
5212,"Block, wood",1
4756,"Blue-painted jar fragment, bull leaping",1
3705,"Boat, fishing and fowling, Meketre",1
810,"Boat, funerary, Meketre",2
4107,"Boat, kitchen, Meketre",1
4106,"Boat, traveling, Meketre",1
4451,Body,1
4243,Body  with garment gathers,1
4245,"Body  with garment, pleated",1
4475,"Body  with garment, pleating",1
4476,"Body  with garment, pleats",1
4463,"Body fragment , cartouche of Aten",1
2650,"Body sherd, Aegean",1
2121,Body surface,1
4483,Body with fringe,1
676,Body with garment,2
4472,"Body with garment and belt , pleating",1
4473,"Body with garment and shawl fringe, pleating",1
325,"Body with garment, pleating",5
4217,"Body with garment, pleating, hip",1
4450,"Body with garment, shawl, pleating, fringe",1
2120,"Body, garment",1
2122,"Body, garment pleats",1
4474,"Body, gathers",1
4359,"Body, miscellaneous part, Aten cartouche",1
2012,"Body, mummified",1
1066,"Body, pleating",2
4470,"Body, with pleated garment",1
1769,"Bolt, door",1
3901,Bone fragment,1
5316,"Bones, pigeon",1
3859,Bookbinding,1
1265,Boomerang,1
1071,Boot,2
3904,Boss,1
43,Bottle,31
4626,"Bottle fragment, fish tail",1
2384,"Bottle, ""New Year's Bottle""",1
4485,"Bottle, ""New Year's Bottle"", Amenhotep, Iufaa",1
3293,"Bottle, ""New Year's Bottle"", double half",1
809,"Bottle, 'pilgrim flask'",2
4792,"Bottle, Akhenaten",1
965,"Bottle, Pomegranate",2
3915,"Bottle, amphora",1
5048,"Bottle, fluted, ring-handled lid",1
558,"Bottle, lentoid amphora",3
1894,"Bottle, lentoid, ""New Year's Bottle""",1
3417,"Bottle, lid naming Thutmose III",1
924,"Bottle, long-necked, wine",2
5186,"Bottle, miniature",1
