,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
798,RC-1637 - Akhenaten Ring,Egyptian,18TH,1353 - 35 BCE,Amarna,Bronze,Jewelry,611.jpg
799,RC-2986 - Cleopatra Vii Coin,Egyptian,,51 - 30 BCE,Ptolemaic,,Coins,5.jpg
800,RC-602 - Snake Mummy in Box,Egyptian,,332 - 323 BCE,Greco-Roman,Reptile Remains,Funerary,397.jpg
801,RC-508 - Canopic Jar and Lid,Egyptian,,,,Limestone,Vessels,87.jpg
802,RC-1685 - Female Musician,Egyptian,,332 - 30 BCE,Ptolemaic,Bronze,Sculpture,517.jpg
803,RC-3066 - Predynastic beaker,Egyptian,,Predynastic,,Clay,Vessels,691.jpg
804,RC-3145 - Coin,Egyptian,PTOLEMY II,332-31 BCE,Ptolemaic,Copper,Coins,668.jpg
805,RC-3146 - Coin,Egyptian,PTOLEMY II,332-31 BCE,Ptolemaic,Copper,Coins,347.jpg
806,RC-3168 - Coin,Egyptian,PTOLEMY IV,332-31 BCE,Ptolemaic,Copper,Coins,89.jpg
807,RC-3192 - Coin,Egyptian,PTOLEMY V,332-31 BCE,Ptolemaic,Copper,Coins,45.jpg
808,RC-3442 - Coin,,MARCUS AURELIUS,31 BCE - 395 CE,Roman Period,Copper,Coins,441.jpg
809,RC-1598 - Clavus Fragment W/ Orbiculus,Egyptian,,,Coptic/Byzantine,Linen,Textiles,465.jpg
810,RC-2267 - Clavus Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,1028.jpg
811,RC-2275 - Orbiculus,Egyptian,,300-600 A.D,Coptic/Byzantine,Linen,Textiles,752.jpg
812,RC-2295 - Textile Fragment,Egyptian,,300-400 CE,Coptic/Byzantine,Linen,Textiles,652.jpg
813,RC-2298 - Panel Fragment,Egyptian,,300-400 CE,Coptic/Byzantine,Linen,Textiles,279.jpg
814,RC-2299 - Panel Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,568.jpg
815,RC-2306 - Orbiculus,Egyptian,,300-400 CE,Coptic/Byzantine,Linen,Textiles,434.jpg
816,RC-2318 - Panel Fragment,Egyptian,,900-1100 CE,Coptic/Byzantine,Linen,Textiles,318.jpg
817,RC-2319 - Textile Fragment,Egyptian,,400-500 CE,Coptic/Byzantine,Linen,Textiles,384.jpg
818,RC-1869 - Beetle Specimens - 3,,,MODERN,Modern,Dried Bugs,,296.jpg
819,RC-297 - Ptah,Egyptian,,,,Bronze,Sculpture,221.jpg
820,RC-251 - Rameses Ii Cartouche Fragment,Egyptian,,,,Granite,Epigraphy,64.jpg
821,RC-1727 - False Door with Ibis,Egyptian,,,,Limestone,Funerary,536.jpg
822,RC-5187 - Scarab,Egyptian,13TH,1784-1668 BCE,2nd Intermediate,Faience,Amulets,863.jpg
823,RC-5195 - Wedjat Eye,Egyptian,18TH,1570-1293 BCE,New Kingdom,Faience,Amulets,337.jpg
