,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
387,RC-1084 - Vessel,Egyptian,4 - 5TH,2720 BCE,Old Kingdom,Banded Calcite,Vessels,634.jpg
388,RC-1091 - Wadjet Amulet,Egyptian,,,,Carnelian,Amulets,489.jpg
389,RC-1092 - Wadjet Amulet,Egyptian,,,,Stone,Amulets,619.jpg
390,RC-1093 - Wadjet Amulet,Egyptian,,,,Stone,Amulets,697.jpg
391,RC-1094 - Mummy Eye,Egyptian,,,,Glass,Funerary,129.jpg
392,RC-1096 - Whorl,Egyptian,,200 - 299 CE,Coptic/Byzantine,Ivory,Tools,698.jpg
393,RC-1099 - Bracelet,Egyptian,,30 BCE - 323 CE,Greco-Roman,Glass,Jewelry,549.jpg
394,RC-1108 - Seal Amulet,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Steatite,Writing Materials,277.jpg
395,RC-1109 - Hathor Head Cylinder Seal,Egyptian,13TH OR 15TH,1746 - 1567 BCE,2nd Intermediate,Steatite,Writing Materials,834.jpg
396,RC-1111 - Amenemhet Iii Cylinder Seal,Egyptian,12TH,1820 BCE,Middle Kingdom,Steatite,Writing Materials,336.jpg
397,RC-1112 - Senrosret Iii Cylinder Seal,Egyptian,12TH,1991 - 1600 BCE,Middle Kingdom,Steatite,Writing Materials,480.jpg
398,RC-1114 - Hatshepsut Cylinder Seal,Egyptian,18TH,1473 - 1458 BCE,New Kingdom,Glazed Steatite,Writing Materials,699.jpg
399,RC-1117 - Food Offering,Egyptian,,2061-1784 BCE,Middle Kingdom,Faience,Funerary,35.jpg
400,RC-1118 - Food Offering,Egyptian,,2061-1784 BCE,Middle Kingdom,Faience,Funerary,96.jpg
401,RC-1120 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,Ivory,Jewelry,28.jpg
402,RC-1121 - Bracelet,Egyptian,,4000 - 3050 BCE,,Bone,Jewelry,693.jpg
403,RC-1123 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,"""Tortoise Shell-Like Substance""",Jewelry,669.jpg
404,RC-1125 - Pendant Necklace/Double Strand,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Faience,Jewelry,185.jpg
405,RC-1139 - Shawabti Fragment/ Feet,Egyptian,,,,Terracotta,Ritual Objects,837.jpg
406,RC-1145 - Kohl Jar,Egyptian,,,,Faience,Toiletries,995.jpg
407,RC-1146 - Shirt,Egyptian,,,,Linen,Funerary,996.jpg
408,RC-1147 - Spoon Fragment,Egyptian,11 - 12TH,2134-2061 BCE,Middle Kingdom,Wood,Toiletries,785.jpg
409,RC-1148 - Funerary Chest Panel,Egyptian,11- 12TH ?,2040 - 1782 BCE ?,Middle Kingdom?,Wood,Funerary,364.jpg
410,RC-1150 - Hand Amulet,Egyptian,,,,Faience,Amulets,643.jpg
411,RC-1152 - Amulet Mold,Egyptian,18TH ?,1570 - 1293 BCE ?,New Kingdom,Clay,Tools,714.jpg
412,RC-1155 - Seated Young Horus,Egyptian,,,,Bronze,Sculpture,676.jpg
413,RC-1157 - Double Osiris Amulet Fragment,Egyptian,,,,Bronze,Amulets,469.jpg
414,RC-1159 - Boat Model Figure,Egyptian,11 - 12TH,2100 - 1790 BCE,Middle Kingdom,Wood,Sculpture,505.jpg
415,RC-1161 - Bead Network,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Faience,Funerary,359.jpg
416,RC-1162 - Amulet Necklace,Egyptian,,,,Faience,Jewelry,402.jpg
417,RC-1171 - Hawk,Egyptian,,332 - 31 BCE,Ptolemaic,Wood,Sculpture,997.jpg
418,RC-1172 - Cord/ Knotted,Egyptian,,,,Cordage,Tools,653.jpg
419,RC-1173 - Boat Model,Egyptian,,,,Wood,Sculpture,3.jpg
420,RC-1179 - Mummy Wrapping,Egyptian,,,,Linen,Funerary,151.jpg
421,RC-1184 - Cornflower Amulet,Egyptian,,,,Glass,Amulets,827.jpg
422,RC-1194 - Ankh Pendant,Egyptian,,,,Faience,Jewelry,731.jpg
423,RC-1199 - Ankh Amulet,Egyptian,,,,Faience,Amulets,437.jpg
424,RC-1213 - Seated Osirian Trinity,Egyptian,18TH,1570-1293 BCE,New Kingdom,Bronze,Sculpture,585.jpg
