,objectDate,locus,city,objectName,subregion,period,Path,title,dynasty,reign,classification,medium,region
5447,ca. 3700-3500 B.C.,unknown,unknown,"Jar, black-topped red ware",unknown,"Predynastic, Late Naqada l-Naqada II",547280.json,Black-topped red ware jar,unknown,unknown,unknown,Pottery,unknown
5448,A.D. 41-68,unknown,unknown,"Relief, Cornice Block, Baptism of Pharaoh",Philae,Roman Period,547283.json,Cornice Block with Relief Showing the Baptism of Pharaoh,unknown,unknown,unknown,Sandstone,1st Cataract
5449,ca. 3450-3300 B.C.,unknown,unknown,"Jar, decorated ware, boats and figures, falcon lugs",unknown,"Predynastic, Naqada II",547284.json,Decorated ware jar with boats and human figures and falcon-styled lugs,unknown,unknown,unknown,"Pottery, paint",unknown
5450,332-30 B.C. probably,unknown,unknown,"Statue, Torso of a king",unknown,Ptolemaic Period,547285.json,Torso of a king,unknown,unknown,unknown,Basalt,unknown
5451,A.D. 120-150,unknown,unknown,"Shroud fragment, bearded man",unknown,Roman Period,547287.json,Fragmentary Shroud with a Bearded Young Man,unknown,unknown,unknown,"Linen, tempera paint",unknown
5452,ca. 3650-3300 B.C.,Tomb 37,unknown,"Jar, black topped red ware",Hierakonpolis,"Predynastic, Naqada II",547291.json,Black-topped red ware jar,unknown,unknown,unknown,Pottery,Southern Upper Egypt
5453,ca. 3650-3300 B.C.,Tomb 29,unknown,"Jar, red polished ware",Hierakonpolis,"Predynastic, Naqada II",547293.json,Red polished ware jar,unknown,unknown,unknown,Pottery,Southern Upper Egypt
5454,ca. 3500-3300 B.C.,Tomb 36,unknown,"Jar, wavy-handled",Hierakonpolis,"Predynastic, Naqada II",547295.json,Wavy-handled jar,unknown,unknown,unknown,Pottery,Southern Upper Egypt
5455,ca. 3500-3300 B.C.,unknown,unknown,"Jar, decorated ware, boats",Hierakonpolis,"Predynastic, Naqada II",547296.json,Decorated ware jar depicting boats,unknown,unknown,unknown,"Pottery, paint",Southern Upper Egypt
5456,ca. 3650-3300 B.C.,unknown,unknown,"Bowl, deep, Late ware, designs",unknown,"Predynastic, Naqada II",547299.json,"Deep bowl depicting people, animals, and plants",unknown,unknown,unknown,"Pottery, paint",unknown
5457,ca. 3650-3300 B.C.,Tomb 40,unknown,"Jar, Decorated ware",Hierakonpolis,"Predynastic, Naqada II",547300.json,Decorated ware jar with lug handles,unknown,unknown,unknown,"Pottery, paint",Southern Upper Egypt
5458,ca. 3300-3100 B.C.,Tomb H129,unknown,"Beads, string",Abadiya,"Predynastic, Naqada III",547303.json,String of beads,unknown,unknown,unknown,"Carnelian, garnet, quartz, glazed steatite",Northern Upper Egypt
5459,ca. 3650-3100 B.C.,unknown,unknown,"Beads, string",Abadiya or Hiw,"Predynastic, Naqada II-Naqada III",547310.json,String of beads,unknown,unknown,unknown,"Lapis lazuli, travertine",Northern Upper Egypt
5460,ca. 3850-3300 B.C.,unknown,unknown,Bracelet,unknown,"Predynastic, Naqada l-Naqada II",547313.json,Ivory bracelet,unknown,unknown,unknown,Ivory,unknown
5461,ca. 4000-3800 B.C.,Tomb 3094,unknown,Belt,Matmar,"Predynastic, Badarian",547333.json,Belt,unknown,unknown,unknown,"Glazed steatite, shell",Northern Upper Egypt
5462,ca. 4400-3800 B.C.,"Tomb 3107, Mummy, left ankle",unknown,Anklet,Matmar,"Predynastic, Badarian",547338.json,Anklet,unknown,unknown,unknown,"Travertine , bone, serpentinite",Northern Upper Egypt
5463,ca. 3650-3300 B.C.,Tomb 107,unknown,Bracelet,Hierakonpolis,"Predynastic, Naqada II",547346.json,Bangle,unknown,unknown,unknown,Shell,Southern Upper Egypt
5464,ca. 3650-3300 B.C.,Tomb 107,unknown,Bracelet,Hierakonpolis,"Predynastic, Naqada II",547347.json,Bangle,unknown,unknown,unknown,Shell,Southern Upper Egypt
5465,ca. 3500-3300 B.C.,Tomb 81,unknown,"Diadem, beads",Hierakonpolis,"Predynastic, Naqada II",547351.json,Semi-diadem,unknown,unknown,unknown,"Serpentinite, lapis lazuli, glazed steatite",Southern Upper Egypt
5466,ca. 3650-3500 B.C.,unknown,unknown,"Palette, antelope heads, turtle",unknown,"Predynastic, Naqada II",547358.json,Palette with antelope heads and a turtle,unknown,unknown,unknown,Greywacke,unknown
5467,ca. 3500-3300 B.C.,unknown,unknown,"Palette, double bird",unknown,"Predynastic, Naqada II",547359.json,Double bird palette,unknown,unknown,unknown,Greywacke,unknown
5468,ca. 3300-3100 B.C.,Tomb 23,unknown,"Palette, fish shaped",Hierakonpolis,"Predynastic, Naqada III",547361.json,Fish-shaped palette,unknown,unknown,unknown,Greywacke,Southern Upper Egypt
5469,ca. 3500-3300 B.C.,Tomb 68,unknown,"Palette, double birds",Hierakonpolis,"Predynastic, Naqada II",547362.json,Palette with double bird heads with inlaid eyes,unknown,unknown,unknown,"Greywacke, shell",Southern Upper Egypt
5470,ca. 3650-3300 B.C.,unknown,unknown,"Amulet, double horns",unknown,Naqada II,547363.json,Amulet emphasizing a pair of horns,unknown,unknown,unknown,Greywacke,unknown
5471,ca. 3900-3500 B.C.,unknown,unknown,"Palette, boat-shaped",unknown,"Predynastic, Late Naqada l-Naqada II",547364.json,Boat-shaped palette,unknown,unknown,unknown,Greywacke,unknown
5472,ca. 3500-3300 B.C.,unknown,unknown,"Palette, guinea fowl",unknown,"Predynastic, Naqada II",547365.json,Palette shaped like a guinea fowl,unknown,unknown,unknown,Greywacke,unknown
5473,ca. 3650-3500 B.C.,unknown,unknown,"Palette, double bird",unknown,"Predynastic, Naqada II",547368.json,Palette with two birds attached at their tails,unknown,unknown,unknown,Greywacke,unknown
5474,ca. 3650-3500 B.C.,unknown,unknown,"Palette, mud turtle",unknown,"Predynastic, Naqada II",547369.json,Palette in the form of a mud turtle,unknown,unknown,unknown,Greywacke,unknown
5475,1st century B.C.-A.D. 1st century,unknown,unknown,"Bracelet, Agathodaimon, Isis-Tyche, Aphrodite, Thermouthis",unknown,Roman Period,547376.json,"Bracelet with Agathodaimon, Isis-Tyche, Aphrodite, and Thermouthis",unknown,unknown,unknown,Gold,unknown
5476,A.D. 1st-2nd century,unknown,unknown,"Earrings, boat shaped, filagree",unknown,Roman Period,547377.json,Boat-shaped earrings with filigree and granule decoration,unknown,unknown,unknown,Gold,Lower Egypt
5477,A.D. 1st-2nd century,unknown,unknown,"Earrings, boat shaped, filagree",unknown,Roman Period,547378.json,Boat-shaped earrings with filagree and granule decoration,unknown,unknown,unknown,Gold,Lower Egypt
5478,ca. 3650-3300 B.C.,Tomb 38,unknown,"Palette, fish shaped",Hierakonpolis,"Predynastic, Naqada II",547384.json,Fish-shaped palette,unknown,unknown,unknown,Greywacke,Southern Upper Egypt
5479,ca. 3200 B.C.,unknown,unknown,"Knife, ivory handle, ripple-flaked, bifacial knife",unknown,"Predynastic, Late Naqada III",547388.json,Carved handle of a ceremonial knife with part of the ripple-flaked knife,unknown,unknown,unknown,"Ivory, flint",unknown
5480,A.D. 1st century,unknown,unknown,"Ring, cast, plain bezel",unknown,Roman Period,547389.json,Cast ring with plain bezel,unknown,unknown,unknown,Gold,unknown
5481,ca. 3200-3100 B.C.,unknown,unknown,"Palette, ceremonial",unknown,"Predynastic, Late Naqada III",547390.json,Carved ceremonial palette,unknown,unknown,unknown,Greywacke,unknown
5482,ca. 3200-3100 B.C.,unknown,unknown,"Palette, man pierced by arrow",unknown,"Predynastic, Late Naqada III",547391.json,Fragment of a ceremonial palette illustrating a man and a type of staff,unknown,unknown,unknown,Greywacke,unknown
5483,ca. 2900 B.C.,Tomb of Peribsen,unknown,"Vessel, King Qaa",Abydos,Early Dynastic Period,547392.json,Vessel inscribed for King Qaa,Dynasty 1,reign of Qaa,unknown,"Limestone, organic material",Northern Upper Egypt
5484,ca. 3100 B.C.,Tomb complex of Aha,unknown,"Cylinder seal, uninscribed",Abydos,Early Dynastic Period,547393.json,Uninscribed cylinder seal,Dynasty 1,reign of Aha,unknown,Ebony,Northern Upper Egypt
5485,ca. 3100 B.C.,Tomb complex of Aha,unknown,"Cylinder seal, uninscribed",Abydos,Late Naqada III or early Dynasty 1,547394.json,Uninscribed cylinder seal,Dynasty 0-1,unknown,unknown,Ivory,Northern Upper Egypt
5486,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Tweezers,Abydos,Early Dynastic Period,547395.json,Tweezers,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5487,ca. 3100 B.C.,Tomb of Qaa,unknown,"Vase, labeling a royal estate",Abydos,"Predynastic, Naqada III",547396.json,Pottery vase with inscription labeling a royal estate,unknown,unknown,unknown,"Pottery, ink",Northern Upper Egypt
5488,ca. 3100-2900 B.C.,unknown,unknown,"Game counter, knuckle bone",Abydos,Early Dynastic Period,547397.json,Knuckle Bone,Dynasty 1,reign of Den,unknown,Bone,Northern Upper Egypt
5489,ca. 2650 B.C.,unknown,unknown,"Sealing, jar",Abydos,Early Dynastic Period,547398.json,Clay jar sealing impressed with name of Khasekhemwy,Dynasty 2,reign of Khasekhemui,unknown,Clay,Northern Upper Egypt
5490,ca. 2650 B.C.,unknown,unknown,"Sealing, jar",Abydos,Early Dynastic Period,547399.json,Clay jar sealing Clay jar sealing impressed with name of Khasekhemwy,Dynasty 2,reign of Khasekhemui,unknown,Clay,Northern Upper Egypt
5491,ca. 2650 B.C.,unknown,unknown,"Sealing, jar",Abydos,Early Dynastic Period,547400.json,Clay jar sealing Clay jar sealing impressed with name of Khasekhemwy,Dynasty 2,reign of Khasekhemui,unknown,Clay,Northern Upper Egypt
5492,ca. 3100 B.C.,Tomb 414,unknown,"Sealing, jar, spiral signs",Tarkhan,"Predynastic, Late Naqada III",547401.json,Mud jar sealing impressed with a row of spiral signs,unknown,unknown,unknown,Clay,Fayum Entrance Area
5493,ca. 3100-2650 B.C.,unknown,unknown,Cylinder seal,unknown,Early Dynastic Period,547402.json,Cylinder seal,unknown,unknown,unknown,Steatite,unknown
5494,ca. 3100-2650 B.C.,unknown,unknown,Cylinder seal,unknown,Early Dynastic Period,547403.json,Cylinder seal,unknown,unknown,unknown,Steatite,unknown
5495,ca. 3100-2650 B.C.,unknown,unknown,Chair or bed leg,Abydos,Early Dynastic Period,547404.json,Leg from a bed or chair,Dynasty 1,unknown,unknown,Ivory,Northern Upper Egypt
5496,ca. 3100-2900 B.C.,Tomb of Den,unknown,Furniture Leg,Abydos,Early Dynastic Period,547405.json,Furniture Leg,Dynasty 1,reign of Den,unknown,Ivory,Northern Upper Egypt
5497,ca. 3100-2650 B.C.,unknown,unknown,"Dish, ritual event",unknown,"Predynastic, Naqada III-Early Dynastic Period",547406.json,Dish with an inscription recording a ritual event,unknown,unknown,unknown,Greywacke,unknown
5498,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Furniture fragment, burned",Abydos,Early Dynastic Period,547407.json,Fragment of burned ivory furniture,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5499,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Furniture fragment, burned",Abydos,Early Dynastic Period,547408.json,Fragment of burned ivory furniture,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5500,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Arrowhead, Projectile Point",Abydos,Early Dynastic Period,547409.json,Projectile Point,Dynasty 1,reign of Djer,unknown,Flint,Northern Upper Egypt
5501,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Arrowhead, Projectile Point",Abydos,Early Dynastic Period,547410.json,Projectile Point,Dynasty 1,reign of Djer,unknown,Flint,Northern Upper Egypt
5502,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547411.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5503,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547412.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5504,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547413.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5505,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547414.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5506,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547415.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5507,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547416.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5508,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547417.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5509,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547418.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5510,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547419.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5511,ca. 3100-2900 B.C.,Tomb of Djer,unknown,Arrowhead,Abydos,Early Dynastic Period,547420.json,Arrowhead,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5512,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Arrowhead, crystal, Projectile Point",Abydos,Early Dynastic Period,547421.json,Projectile Point,Dynasty 1,reign of Djer,unknown,Quartz crystal,Northern Upper Egypt
5513,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Arrowhead, projectile point",Abydos,Early Dynastic Period,547422.json,Projectile Point,Dynasty 1,reign of Djer,unknown,Flint,Northern Upper Egypt
5514,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Projectile point, arrowhead",Abydos,Early Dynastic Period,547423.json,Notched projectile point with transverse tip,Dynasty 1,reign of Djer,unknown,Flint,Northern Upper Egypt
5515,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Vase, cylinder",Abydos,Early Dynastic Period,547424.json,Cylinder vase,Dynasty 1,reign of Djer,unknown,Travertine,Northern Upper Egypt
5516,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model ax head,Abydos,Early Dynastic Period,547425.json,Model ax-head,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5517,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model adze blade,Abydos,Early Dynastic Period,547426.json,Model adze blade,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5518,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model chisel,Abydos,Early Dynastic Period,547427.json,Model chisel,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5519,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model harpoon,Abydos,Early Dynastic Period,547428.json,Model harpoon,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5520,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model harpoon,Abydos,Early Dynastic Period,547429.json,Model harpoon,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5521,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model chisel,Abydos,Early Dynastic Period,547430.json,Model chisel,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5522,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model adze blade,Abydos,Early Dynastic Period,547431.json,Model adze blade,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5523,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Model chisel,Abydos,Early Dynastic Period,547432.json,Model chisel,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5524,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Cosmetic Pin,Abydos,Early Dynastic Period,547433.json,Copper pin,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5525,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Cosmetic Pin,Abydos,Early Dynastic Period,547434.json,Copper pin,Dynasty 2,reign of Khasekhemui,unknown,Copper alloy,Northern Upper Egypt
5526,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Inlay, from a box",Abydos,Early Dynastic Period,547435.json,Box inlay with a geometric pattern,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5527,ca. 3100-2900 B.C.,Tomb of Djer,unknown,"Inlay, from a box",Abydos,Early Dynastic Period,547436.json,Box inlay with a geometric pattern,Dynasty 1,reign of Djer,unknown,Ivory,Northern Upper Egypt
5528,ca. 3100-2900 B.C.,Tomb of Den,unknown,Furniture Leg,Abydos,Early Dynastic Period,547437.json,Furniture leg possibly from a game board,Dynasty 1,reign of Den,unknown,Ivory,Northern Upper Egypt
5529,ca. 2949 B.C.,Tomb of Khasekhemui,unknown,"Knife, bifacial, handle",Abydos,Early Dynastic Period,547438.json,Bifacial knife with handle,Dynasty 2,reign of Khasekhemui,unknown,Flint,Northern Upper Egypt
5530,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,Jar,Abydos,Early Dynastic Period,547439.json,Squat jar,Dynasty 2,reign of Khasekhemui,unknown,Magnesite,Northern Upper Egypt
5531,ca. 2650 B.C.,Tomb of Khasekhemui,unknown,"Bracelet, child's",Abydos,Early Dynastic Period,547440.json,Child's bracelet,Dynasty 2,reign of Khasekhemui,unknown,Gold,Northern Upper Egypt
5532,ca. 3050 B.C.,Tomb of Djer,unknown,"Stela, Senba, Niseret",Abydos,Early Dynastic Period,547441.json,Stela of a Woman Named Niseret,Dynasty 1,reign of Djer,unknown,Limestone,Northern Upper Egypt
5533,ca. 3100 B.C.,Tomb 414,unknown,"Sealing, jar, King Narmer's name",Tarkhan,"Predynastic, Late Naqada III",547443.json,Mud jar sealing with King Narmer's name,unknown,unknown,unknown,Clay,Fayum Entrance Area
5534,ca. 3100 B.C.,Tomb 414,unknown,"Sealing, jar, King Narmer's estate",Tarkhan,"Predynastic, Late Naqada III",547444.json,Mud jar sealing indicating King Narmer's estate,unknown,unknown,unknown,Clay,Fayum Entrance Area
5535,ca. 3200-2650 B.C.,Tomb 414,unknown,"Sealing, jar",Tarkhan,"Predynastic, Late Naqada III-Early Dynastic Period",547445.json,Mud jar sealing,unknown,unknown,unknown,"Clay, mud",Fayum Entrance Area
5536,ca. 3100 B.C.,Tomb of Aha,unknown,Box fragment,Abydos,Early Dynastic Period,547446.json,Box Fragment Illustrating a Royal Servant,Dynasty 1,reign of Aha,unknown,Ivory with black organic material in incisions,Northern Upper Egypt
5537,ca. 3300 B.C.,Tomb H 107,unknown,"Beads, string",Mahasna,"Predynastic, Naqada II",547451.json,String of beads,unknown,unknown,unknown,Lapis lazuli,Northern Upper Egypt
5538,ca. 3500 B.C.,unknown,unknown,"Vessel, decorated ware, spouted",unknown,"Predynastic, Naqada II",547452.json,Spouted vessel in decorated ware,unknown,unknown,unknown,"Pottery, paint",unknown
5539,ca. 3500-3300 B.C.,Tomb 106,unknown,"Jug, two handled",Hierakonpolis,"Predynastic, Naqada II",547453.json,Double handled jug from the Levant,unknown,unknown,unknown,Pottery,Southern Upper Egypt
5540,ca. 3300-3100 B.C.,unknown,unknown,"Vessel, lug handles, squat",unknown,"Predynastic, Naqada III",547462.json,Squat lugged stone vessel,unknown,unknown,unknown,Stone,unknown
5541,ca. 3100-2649 B.C.,Chamber M89,unknown,"Figurine, Hippopotamus",Abydos,Early Dynastic Period,547465.json,Small statuette of a hippopotamus,unknown,unknown,unknown,Calcite,Northern Upper Egypt
5542,ca. 3100-2650 B.C.,unknown,unknown,"Figurine, obeisance, humble man crouch",Saqqara,Early Dynastic Period,547472.json,Figure of a Crouched Man,unknown,unknown,unknown,Faience,Memphite Region
5543,ca. 3100-2650 B.C.,unknown,unknown,"Figurine, Falcon",Saqqara,Early Dynastic Period,547473.json,Figurine of a crouching falcon,unknown,unknown,unknown,Faience,Memphite Region
5544,ca. 3300-3100 B.C.,Tomb H128,unknown,"Spoon, bird",Mahasna,"Predynastic, Naqada III",547475.json,Spoon with a falcon on the handle,unknown,unknown,unknown,Ivory,Northern Upper Egypt
5545,ca. 3100-2649 B.C.,Chamber M69,unknown,"Statuette, standing woman",Abydos,Early Dynastic Period,547476.json,Standing Woman,unknown,unknown,unknown,Ivory,Northern Upper Egypt
5546,ca. 3100-2650 B.C.,Chamber M69,unknown,"Statuette,  young boy",Abydos,Early Dynastic Period,547477.json,Partial statuette probably depicting a young boy,unknown,unknown,unknown,Ivory,Northern Upper Egypt
5547,ca. 3100-2900 B.C.,unknown,unknown,"Statuette, female",Abydos,Early Dynastic Period,547478.json,Statuette of a Standing Woman,Probably Dynasty 1,unknown,unknown,Ivory,Northern Upper Egypt
5548,ca. 3100-2649 B.C.,Chamber M69,unknown,"Game piece, lion",Abydos,Early Dynastic Period,547479.json,Game Piece in the Form of a Lion,unknown,unknown,unknown,Ivory,Northern Upper Egypt
5549,ca. 3100-2650 B.C.,unknown,unknown,"Figurine, falcon",Saqqara,Early Dynastic Period,547480.json,Figurine of a crouching falcon,unknown,unknown,unknown,Faience,Memphite Region
5550,ca. 3100-2649 B.C.,Chamber M69,unknown,"Amulet, Crocodile",Abydos,Early Dynastic Period,547481.json,Crocodile,unknown,unknown,unknown,Faience,Northern Upper Egypt
5551,ca. 3100-2650 B.C.,unknown,unknown,"Amulet, Frog",Saqqara,Early Dynastic Period,547486.json,Frog,unknown,unknown,unknown,Blue green glazed faience,Memphite Region
5552,ca. 3100-2649 B.C.,Chamber M69,unknown,"Figurine, Baboon",Abydos,Early Dynastic Period,547487.json,Baboon,unknown,unknown,unknown,Faience,Northern Upper Egypt
5553,ca. 3100-2649 B.C.,Chamber M69,unknown,"Figurine, Baboon",Abydos,Early Dynastic Period,547490.json,Juvenile Baboon,unknown,unknown,unknown,Faience,Northern Upper Egypt
5554,ca. 2900-2650 B.C.,Chamber M69,unknown,"Head, man",Abydos,Early Dynastic Period,547491.json,Head of a man,Dynasty 2 probably,unknown,unknown,Wood,Northern Upper Egypt
5555,ca. 3100-2900 B.C.,unknown,unknown,"Figurine, seated adult, child",Abydos,Early Dynastic Period,547492.json,A Woman and Her Child,Dynasty 1,unknown,unknown,Faience,Northern Upper Egypt
5556,ca. 3850-2960 B.C.,Tomb 58,unknown,"Jar, Cylindrical, Wavy-handled ware",Hierakonpolis,Predynastic Period,547498.json,Wavy-handled jar,unknown,unknown,unknown,Pottery,Southern Upper Egypt
5557,ca. 3100-2649 B.C.,Tomb M12,unknown,Jar,Abydos,Early Dynastic Period,547499.json,Jar,Dynasty 1,unknown,unknown,pottery,Northern Upper Egypt
5558,ca. 3100-2649 B.C.,Tomb M12,unknown,Jar,Abydos,Early Dynastic Period,547500.json,Jar,Dynasty 1,unknown,unknown,Pottery,Northern Upper Egypt
5559,ca. 3300-3100 B.C.,unknown,unknown,"Palette, rectangular",Hierakonpolis,"Predynastic, Naqada III",547502.json,Rectangular palette,unknown,unknown,unknown,Greywacke,Southern Upper Egypt
5560,ca. 3850-2960 B.C.,unknown,unknown,Jar,Abadiya,Predynastic Period,547503.json,Jar,unknown,unknown,unknown,Pottery,Northern Upper Egypt
5561,ca. 3850-2960 B.C.,Tomb B7,unknown,"Jar, Wavy-handled",Abadiya,Predynastic Period,547504.json,Wavy-handled jar,unknown,unknown,unknown,Pottery,Northern Upper Egypt
5562,ca. 3850-2960 B.C.,Tomb R18A,unknown,Jar,Abadiya,Predynastic Period,547505.json,Jar,unknown,unknown,unknown,Pottery,Northern Upper Egypt
5563,ca. 3850-2960 B.C.,Tomb B32,unknown,Jar,Abadiya,Predynastic Period,547506.json,Red polished ware jar,unknown,unknown,unknown,Pottery,Northern Upper Egypt
5564,ca. 3850-2960 B.C.,Tomb 44,unknown,"Jar, Wavy-handled",Hierakonpolis,Predynastic Period,547507.json,Wavy-handled jar,unknown,unknown,unknown,Pottery,Southern Upper Egypt
5565,ca. 4500-4000 B.C.,Tomb 105,unknown,"Jar, cylindrical",Hierakonpolis,Predynastic Period,547508.json,Wavy-handled jar with cross-hatched design,unknown,unknown,unknown,"Pottery, paint",Southern Upper Egypt
5566,ca. 3850-2960 B.C.,unknown,unknown,Mace head,unknown,Predynastic Period,547511.json,Macehead,unknown,unknown,unknown,Stone,unknown
5567,ca. 3850-2960 B.C.,unknown,unknown,"Mace head, lenticular",unknown,Predynastic Period,547512.json,Lenticular macehead,unknown,unknown,unknown,Limestone,unknown
5568,ca. 3650-2960 B.C.,"Tomb U277, U325, or U344",unknown,"Beads, string",Hiw,"Predynastic, Naqada II-Naqada III",547513.json,String of beads,unknown,unknown,unknown,Steatite,Northern Upper Egypt
5569,ca. 3850-2960 B.C.,unknown,unknown,"Beads, string",Mahasna,Predynastic Period,547517.json,String of beads,unknown,unknown,unknown,Carnelian,Northern Upper Egypt
5570,ca. 3850-2960 B.C.,unknown,unknown,"Beads, string",unknown,Predynastic Period,547519.json,String of beads,unknown,unknown,unknown,Carnelian,unknown
5571,ca. 3850-2960 B.C.,unknown,unknown,Bracelet,unknown,Predynastic Period,547520.json,Bracelet,unknown,unknown,unknown,Ivory,unknown
5572,ca. 3850-2960 B.C.,unknown,unknown,Bracelet,unknown,Predynastic Period,547521.json,Bracelet,unknown,unknown,unknown,Bone,unknown
5573,ca. 3850-2960 B.C.,unknown,unknown,Bracelet,unknown,Predynastic Period,547522.json,Bracelet,unknown,unknown,unknown,Ivory,unknown
5574,ca. 4500-4000 B.C.,unknown,unknown,"Vessel, bird-shaped",unknown,Predynastic Period,547523.json,Vessel in shape of bird,unknown,unknown,unknown,Pottery,unknown
5575,ca. 3850-2960 B.C.,unknown,unknown,Palette,unknown,Predynastic Period,547524.json,Palette,unknown,unknown,unknown,Greywacke,unknown
5576,ca. 3850-2960 B.C.,unknown,unknown,"Palette, rhomboid",unknown,Predynastic Period,547525.json,Rhomboidal palette,unknown,unknown,unknown,Greywacke,unknown
5577,ca. 3650-3300 B.C.,Tomb 21,unknown,"Palette, fish shaped",Hierakonpolis,"Predynastic, Naqada II",547526.json,Fish-shaped palette with the remains of green pigment,unknown,unknown,unknown,Greywacke,Southern Upper Egypt
5578,ca. 3100-2649 B.C.,Tomb 2322,unknown,"Dish, plate",Saqqara,Early Dynastic Period,547529.json,Plate,Dynasty 2,unknown,unknown,Travertine,Memphite Region
5579,ca. 2750-2649 B.C.,unknown,unknown,Bowl,Saqqara,Early Dynastic Period,547530.json,Bowl,"Dynasty 2, second half",unknown,unknown,Travertine,Memphite Region
5580,ca. 3100-2649 B.C.,Tomb 2322,unknown,Bowl,Saqqara,Early Dynastic Period,547532.json,Bowl,Dynasty 2,unknown,unknown,Travertine,Memphite Region
5581,ca. 2750-2649 B.C.,unknown,unknown,Bowl,Saqqara,Early Dynastic Period,547533.json,Bowl,"Dynasty 2, second half",unknown,unknown,Travertine,Memphite Region
5582,ca. 2750-2649 B.C.,unknown,unknown,Bowl,Saqqara,Early Dynastic Period,547534.json,Bowl,"Dynasty 2, second half",unknown,unknown,Dioritic gneiss,Memphite Region
5583,ca. 3100-2649 B.C.,Tomb 2322,unknown,Dish,Saqqara,Early Dynastic Period,547535.json,Dish,Dynasty 2,unknown,unknown,Hornblende diorite,Memphite Region
