,Unique Values,Count
281,SPINDLE,3
126,SPINDLE WHORL,13
203,SPINNING AND WEAVING,6
89,SPOON,26
196,STAFF,6
4,STATUE,705
5,STELA,607
220,STICK,5
128,STOOL,13
259,STRAINER,3
254,STYLUS,3
391,SUN-SHADE,1
205,TALATAT,6
323,TEMPLE,2
422,THEATRE TOKEN,1
414,THREAD,1
392,THRONE,1
217,THROW-STICK,5
56,TILE,43
330,TOMB,2
90,TOMB EQUIPMENT,25
343,TOOL,2
362,TOOL MOULD,1
396,TOP,1
405,TORCH,1
404,TORUS MOULDING,1
125,TOY,13
353,TRUMPET,2
119,TUNIC,15
134,TWEEZERS,12
21,UDJAT-AMULET,126
60,UNDEFINABLE,41
15,UNKNOWN,214
274,UNSPECIFIED ACCESSORY,3
373,UNSPECIFIED AGRICULTURAL EQUIPMENT,1
174,UNSPECIFIED CLOTHING,8
193,UNSPECIFIED COFFIN,6
207,UNSPECIFIED COSMETIC AND MEDICAL EQUIPMENT AND IMPLEMENT,6
311,UNSPECIFIED DOMESTIC EQUIPMENT AND UTENSIL,2
158,UNSPECIFIED EQUIPEMNT,9
368,UNSPECIFIED FOOD OFFERING,1
150,UNSPECIFIED FRAGMENT OF MUMMY TRAPPINGS,10
419,UNSPECIFIED HUMAN REMAINS,1
190,UNSPECIFIED JEWELLERY,7
388,UNSPECIFIED MAMMAL MUMMY,1
189,UNSPECIFIED MODEL,7
390,UNSPECIFIED ORGANIC REMAINS,1
41,UNSPECIFIED RECEPTACLE,71
95,UNSPECIFIED RELIGIOUS AND CULT OBJECT,22
320,UNSPECIFIED SPINNING AND WEAVING IMPLEMENT,2
140,UNSPECIFIED TOMB EQUIPMENT,11
282,UNSPECIFIED TOOL,3
307,UNSPECIFIED TOY,2
346,UNSPECIFIED TRAPPINGS,2
222,"UNSPECIFIED WARFARE,HUNTING,FISHING EQUIPMENT",5
345,URN,2
3,VASE,833
301,VEGETAL REMAINS,2
290,WALL,3
73,WALL PAINTING,33
80,"WARFARE, HUNTING AND FISHING EQUIPMENT",29
386,WAS-SCEPTRE,1
384,WATER POT,1
297,WEAVING AND SPINNING WORKSHOP,2
316,WEDGE,2
98,WEIGHT,21
306,WEIGHTS OF A LOOM,2
295,WESEKH-COLLAR,2
130,WIG ORNAMENT,12
352,WINDOW,2
112,WINGED SCARAB,17
167,WRITING BOARD,8
148,WRITING EQUIPMENT,10
118,WRITTEN DOCUMENT,15
